group,d_full,d_kappa,d_isr
flip_h_r180,0.6116710901260376,0.9717411398887634,0.3178640305995941
flip_h_r270,3.2866644859313965,1.3349303007125854,2.4906723499298096
r90,4.045292854309082,0.9194371104240417,2.5169782638549805
r180,0.6945865750312805,0.6954469680786133,1.061931848526001
r270,5.376728534698486,0.4015235900878906,3.4938759803771973
flip_h,0.4049360454082489,0.19604307413101196,1.1816108226776123
flip_h_r90,3.406668186187744,0.917363703250885,2.703892469406128
flip_h_r180,0.4085261821746826,0.7159792184829712,0.5799033045768738
flip_h_r270,5.008384704589844,0.49710613489151,2.466317653656006
r90,3.3250198364257812,5.0901641845703125,2.489938259124756
r180,5.411608695983887,1.0547235012054443,1.9161081314086914
r270,1.2799772024154663,1.8130236864089966,1.9735037088394165
flip_h,4.323787212371826,3.0667426586151123,1.434108018875122
flip_h_r90,3.05427885055542,2.675678014755249,1.2997541427612305
flip_h_r180,3.18505859375,2.3492848873138428,4.363145351409912
flip_h_r270,2.222930908203125,4.046140193939209,2.860825538635254
r90,2.6917078495025635,3.833127498626709,2.0354928970336914
r180,2.631202459335327,2.098076105117798,2.1896893978118896
r270,2.35032057762146,4.16387414932251,1.9560383558273315
flip_h,2.5816526412963867,2.244497776031494,0.05789217725396156
flip_h_r90,1.9609198570251465,7.095486640930176,2.2351996898651123
flip_h_r180,3.1674816608428955,1.9672706127166748,1.3634041547775269
flip_h_r270,1.9889129400253296,1.9804999828338623,0.6631044745445251
r90,0.9396332502365112,1.2956838607788086,0.33814990520477295
r180,0.9736489057540894,3.312222719192505,5.580141067504883
r270,1.3332643508911133,0.04849747568368912,0.8581591844558716
flip_h,1.2129493951797485,3.74780535697937,1.1808542013168335
flip_h_r90,1.071508765220642,1.518019199371338,1.1668717861175537
flip_h_r180,1.7803966999053955,3.1524884700775146,0.5853500366210938
flip_h_r270,0.6204847097396851,3.7776877880096436,5.070557594299316
r90,7.361056327819824,0.6901301145553589,7.086237907409668
r180,0.6069337725639343,2.4671497344970703,0.7932679653167725
r270,8.836834907531738,4.149677276611328,6.9348225593566895
flip_h,0.6307880878448486,4.5111517906188965,1.4566376209259033
flip_h_r90,6.263576984405518,1.7948832511901855,5.619000434875488
flip_h_r180,0.2434624582529068,0.6057611703872681,0.16457034647464752
flip_h_r270,7.377196788787842,3.4332997798919678,6.253349304199219
r90,5.3182597160339355,5.046433925628662,5.768786907196045
r180,1.4017832279205322,2.1065971851348877,1.8004553318023682
r270,7.244237422943115,1.6375391483306885,5.831390380859375
flip_h,0.7243796586990356,2.0296878814697266,1.2424414157867432
flip_h_r90,7.002516269683838,1.1037161350250244,6.367911338806152
flip_h_r180,4.249696731567383,0.9703153371810913,0.6238741278648376
flip_h_r270,4.5070719718933105,1.9088999032974243,4.187242031097412
r90,5.7156853675842285,8.624346733093262,5.489009380340576
r180,1.2000125646591187,5.873789310455322,3.81394362449646
r270,6.500550746917725,5.795200347900391,8.242392539978027
flip_h,3.884791612625122,1.935642123222351,1.3911800384521484
flip_h_r90,5.9051313400268555,7.973494052886963,6.0027899742126465
flip_h_r180,1.421522855758667,4.75421667098999,7.939364433288574
flip_h_r270,6.246148109436035,6.2275238037109375,7.749394416809082
