model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,17,2,r270,H12_HANDOFF,3.005038022994995,457.80633544921875
VanillaLensPINN,17,2,r270,H13_eff3,3.005038022994995,705972.625
VanillaLensPINN,17,2,r270,H13b_eff4,3.005038022994995,308110.6875
VanillaLensPINN,17,2,r270,H14_eff5,3.005038022994995,334818.40625
VanillaLensPINN,17,2,r270,H14b_eff6,3.005038022994995,129448.5390625
VanillaLensPINN,17,2,r270,H15_before_gap,3.005038022994995,10913.96484375
VanillaLensPINN,17,2,r270,H16_after_gap,3.005038022994995,13.167949676513672
VanillaLensPINN,17,2,r270,H17_pre_linear,3.005038022994995,13.167949676513672
VanillaLensPINN,17,2,flip_h,H00_preprocess,2.738769292831421,436.8798828125
VanillaLensPINN,17,2,flip_h,H01_enc1,2.738769292831421,126867.3671875
VanillaLensPINN,17,2,flip_h,H02_enc2,2.2773890495300293,77725.0
VanillaLensPINN,17,2,flip_h,H03_enc3,0.6846718192100525,31860.45703125
VanillaLensPINN,17,2,flip_h,H04_bot,0.8762614130973816,928894.8125
VanillaLensPINN,17,2,flip_h,H08_kappa_out,2.738769292831421,4.124345779418945
VanillaLensPINN,17,2,flip_h,H09_poisson,0.19803404808044434,26219.728515625
VanillaLensPINN,17,2,flip_h,H10_deflection,0.19803404808044434,125.40220642089844
VanillaLensPINN,17,2,flip_h,H11_inv_lens,2.718425750732422,105.82004237174988
VanillaLensPINN,17,2,flip_h,H12_HANDOFF,5.878241539001465,211.03602600097656
VanillaLensPINN,17,2,flip_h,H13_eff3,5.878241539001465,545668.625
VanillaLensPINN,17,2,flip_h,H13b_eff4,5.878241539001465,212857.796875
VanillaLensPINN,17,2,flip_h,H14_eff5,5.878241539001465,331852.5
VanillaLensPINN,17,2,flip_h,H14b_eff6,5.878241539001465,291350.71875
VanillaLensPINN,17,2,flip_h,H15_before_gap,5.878241539001465,20444.162109375
VanillaLensPINN,17,2,flip_h,H16_after_gap,5.878241539001465,55.09601593017578
VanillaLensPINN,17,2,flip_h,H17_pre_linear,5.878241539001465,55.09601593017578
VanillaLensPINN,17,2,flip_h_r90,H00_preprocess,1.3382335901260376,757.6620483398438
VanillaLensPINN,17,2,flip_h_r90,H01_enc1,1.3382335901260376,221808.921875
VanillaLensPINN,17,2,flip_h_r90,H02_enc2,3.584123134613037,165091.3125
VanillaLensPINN,17,2,flip_h_r90,H03_enc3,2.115354061126709,93346.4296875
VanillaLensPINN,17,2,flip_h_r90,H04_bot,1.6505926847457886,2915557.0
VanillaLensPINN,17,2,flip_h_r90,H08_kappa_out,1.3382335901260376,14.706928253173828
VanillaLensPINN,17,2,flip_h_r90,H09_poisson,1.119821548461914,135302.125
VanillaLensPINN,17,2,flip_h_r90,H10_deflection,1.119821548461914,589.5679931640625
VanillaLensPINN,17,2,flip_h_r90,H11_inv_lens,4.414501190185547,282.4505305290222
VanillaLensPINN,17,2,flip_h_r90,H12_HANDOFF,2.592776298522949,560.8221435546875
VanillaLensPINN,17,2,flip_h_r90,H13_eff3,2.592776298522949,678257.5625
VanillaLensPINN,17,2,flip_h_r90,H13b_eff4,2.592776298522949,325165.96875
VanillaLensPINN,17,2,flip_h_r90,H14_eff5,2.592776298522949,342827.4375
VanillaLensPINN,17,2,flip_h_r90,H14b_eff6,2.592776298522949,152880.34375
VanillaLensPINN,17,2,flip_h_r90,H15_before_gap,2.592776298522949,12754.470703125
VanillaLensPINN,17,2,flip_h_r90,H16_after_gap,2.592776298522949,9.298434257507324
VanillaLensPINN,17,2,flip_h_r90,H17_pre_linear,2.592776298522949,9.298434257507324
VanillaLensPINN,17,2,flip_h_r180,H00_preprocess,3.2585673332214355,864.3536987304688
VanillaLensPINN,17,2,flip_h_r180,H01_enc1,3.2585673332214355,233240.796875
VanillaLensPINN,17,2,flip_h_r180,H02_enc2,3.8486413955688477,162231.359375
VanillaLensPINN,17,2,flip_h_r180,H03_enc3,0.21344994008541107,101533.421875
VanillaLensPINN,17,2,flip_h_r180,H04_bot,1.2268818616867065,3151346.25
VanillaLensPINN,17,2,flip_h_r180,H08_kappa_out,3.2585673332214355,16.95984649658203
VanillaLensPINN,17,2,flip_h_r180,H09_poisson,3.3247859477996826,58890.06640625
VanillaLensPINN,17,2,flip_h_r180,H10_deflection,3.3247859477996826,531.4552001953125
VanillaLensPINN,17,2,flip_h_r180,H11_inv_lens,3.0863773822784424,318.07148361206055
VanillaLensPINN,17,2,flip_h_r180,H12_HANDOFF,3.718594551086426,635.6998291015625
VanillaLensPINN,17,2,flip_h_r180,H13_eff3,3.718594551086426,704976.5
VanillaLensPINN,17,2,flip_h_r180,H13b_eff4,3.718594551086426,302694.5625
VanillaLensPINN,17,2,flip_h_r180,H14_eff5,3.718594551086426,282383.46875
VanillaLensPINN,17,2,flip_h_r180,H14b_eff6,3.718594551086426,93371.1015625
VanillaLensPINN,17,2,flip_h_r180,H15_before_gap,3.718594551086426,6811.3076171875
VanillaLensPINN,17,2,flip_h_r180,H16_after_gap,3.718594551086426,17.46465492248535
VanillaLensPINN,17,2,flip_h_r180,H17_pre_linear,3.718594551086426,17.46465492248535
VanillaLensPINN,17,2,flip_h_r270,H00_preprocess,3.8792593479156494,436.195556640625
VanillaLensPINN,17,2,flip_h_r270,H01_enc1,3.8792593479156494,119917.421875
VanillaLensPINN,17,2,flip_h_r270,H02_enc2,3.3337857723236084,72908.9375
VanillaLensPINN,17,2,flip_h_r270,H03_enc3,0.5408642292022705,55905.078125
VanillaLensPINN,17,2,flip_h_r270,H04_bot,0.4612956643104553,1815065.5
VanillaLensPINN,17,2,flip_h_r270,H08_kappa_out,3.8792593479156494,9.912895202636719
VanillaLensPINN,17,2,flip_h_r270,H09_poisson,1.1475155353546143,109730.265625
VanillaLensPINN,17,2,flip_h_r270,H10_deflection,1.1475155353546143,310.60406494140625
VanillaLensPINN,17,2,flip_h_r270,H11_inv_lens,2.9570651054382324,100.71844673156738
VanillaLensPINN,17,2,flip_h_r270,H12_HANDOFF,3.796708822250366,201.89047241210938
VanillaLensPINN,17,2,flip_h_r270,H13_eff3,3.796708822250366,695132.6875
VanillaLensPINN,17,2,flip_h_r270,H13b_eff4,3.796708822250366,345569.875
VanillaLensPINN,17,2,flip_h_r270,H14_eff5,3.796708822250366,329433.0625
VanillaLensPINN,17,2,flip_h_r270,H14b_eff6,3.796708822250366,145529.109375
VanillaLensPINN,17,2,flip_h_r270,H15_before_gap,3.796708822250366,10677.1337890625
VanillaLensPINN,17,2,flip_h_r270,H16_after_gap,3.796708822250366,17.993080139160156
VanillaLensPINN,17,2,flip_h_r270,H17_pre_linear,3.796708822250366,17.993080139160156
VanillaLensPINN,27,0,e,H00_preprocess,0.0,0.0
VanillaLensPINN,27,0,e,H01_enc1,0.0,0.0
VanillaLensPINN,27,0,e,H02_enc2,0.0,0.0
VanillaLensPINN,27,0,e,H03_enc3,0.0,0.0
VanillaLensPINN,27,0,e,H04_bot,0.0,0.0
VanillaLensPINN,27,0,e,H08_kappa_out,0.0,0.0
VanillaLensPINN,27,0,e,H09_poisson,0.0,0.0
VanillaLensPINN,27,0,e,H10_deflection,0.0,0.0
VanillaLensPINN,27,0,e,H11_inv_lens,0.0,0.0
VanillaLensPINN,27,0,e,H12_HANDOFF,0.0,0.0
